method,rmse,relative_l2,rmse_u,rmse_v,rmse_w,min_value,max_positive_partial_mass_increment,runtime_seconds
FDM,0.00014842170273032915,0.0006110176692178262,6.96597565431309e-05,0.00018853193376568503,0.00016028173256186638,8.248678804640217e-33,0.0,0.05547602500018911
FEM,0.00011359816325868971,0.0004676572473222748,4.722582018154173e-05,0.00015089595534256792,0.00011710576696592786,8.248678804640217e-33,0.0,0.1174630509999588
