method,resolution,rmse,l2_error,linf_error,observed_order
FEM,50,0.00011038399919472097,0.00015765988598108628,0.00022258573677191862,
FEM,100,2.766544674780556e-05,3.931998761935771e-05,5.538220888567924e-05,1.9963739341579794
FEM,200,6.922104556904721e-06,9.813776964472416e-06,1.3914615601517966e-05,1.9988025825504407
FEM,400,1.729828166318668e-06,2.449402477626688e-06,3.5547569817717672e-06,2.000581999400689
