method,seed,rmse,relative_l2,min_value,test_residual,train_residual,inference_seconds,max_mass_increase,runtime_seconds,peak_memory_mb
FDM,deterministic,0.0001320877736193969,0.00045526266469564277,8.248678804640217e-33,nan,nan,nan,0.0,2.0095366000023205,0.10128021240234375
FEM,deterministic,8.866260813679152e-05,0.00030559054886889067,8.248678804640217e-33,nan,nan,nan,0.0,56.470773700013524,0.10335445404052734
PINN,11,0.0027102199519573973,0.009341227605173525,0.0057843365,0.16952607035636902,0.0406073776753295,0.04878809998626821,0.0,134.1068352000002,9.256077766418457
PINN,29,0.003214980195402475,0.011080968439365933,0.005785217,0.11426106840372086,0.05107268509832409,0.037683900009142235,0.0,145.02634039999975,6.7340497970581055
PINN,47,0.0036634335784708726,0.0126266382358437,0.0057236752,0.18178561329841614,0.0664673166826662,0.045990400001755916,0.0,141.53765030000068,6.742192268371582
PINN,71,0.0031514209401716,0.010861900806461041,0.005772124,0.08946768194437027,0.04147008752211011,0.04368620000605006,0.0,141.542715100004,6.730010032653809
PINN,101,0.004130374935590684,0.014236029935574398,0.005866633,0.3385646641254425,0.06288608496135871,0.0647739999985788,0.0,158.0847875999898,6.740233421325684
