method,rmse_mean,rmse_std,relative_l2_mean,relative_l2_std,min_value_mean,min_value_std,test_residual_mean,test_residual_std,train_residual_mean,train_residual_std,inference_seconds_mean,inference_seconds_std,max_mass_increase_mean,max_mass_increase_std,runtime_seconds_mean,runtime_seconds_std,peak_memory_mb_mean,peak_memory_mb_std
FDM,0.0001320877736193969,0.0,0.00045526266469564277,0.0,8.248678804640217e-33,0.0,nan,0.0,nan,0.0,nan,0.0,0.0,0.0,2.0095366000023205,0.0,0.10128021240234375,0.0
FEM,8.866260813679152e-05,0.0,0.00030559054886889067,0.0,8.248678804640217e-33,0.0,nan,0.0,nan,0.0,nan,0.0,0.0,0.0,56.470773700013524,0.0,0.10335445404052734,0.0
PINN,0.0033740859203186062,0.0005411348008889582,0.011629353004483721,0.001865111846930818,0.005786397494375706,5.1432372856652364e-05,0.17872101962566375,0.09716631761083916,0.05250071038795773,0.011917291601606678,0.04818452000035904,0.01013517662586765,0.0,0.0,144.0596657199989,8.794784551760964,7.240512657165527,1.1267456225385972
