seed,initial_relative_l2,initial_rmse,initial_mass,initial_mass_error
11,0.040241553934491206,0.016832761549262915,0.6841322575137019,0.009132257513701725
29,0.039600790017846714,0.01656473446870319,0.6842519704205915,0.009251970420591338
47,0.04815841719420076,0.020144330274609563,0.6873861099360512,0.012386109936051048
71,0.03971623026812106,0.01661302232083779,0.6862682427512481,0.011268242751247937
101,0.04445040429207459,0.018593294320464086,0.6831837285170331,0.008183728517032973
