method,dt,rmse,l2_error,linf_error,observed_order
FDM,0.0008,6.461495806079217e-05,9.14079016081343e-05,0.0001618381795842653,
FDM,0.0004,3.269750169089028e-05,4.625569848053943e-05,8.19173086236243e-05,0.9826877724141572
FDM,0.0002,1.665519519597743e-05,2.3561362406299628e-05,4.154502497447193e-05,0.9732081460820169
FDM,0.0001,8.615047650880376e-06,1.2187323982786895e-05,2.1254749170179584e-05,0.9510415809377925
FEM,0.0008,6.401462152867054e-05,9.058690975158337e-05,0.00016042598519278725,
FEM,0.0004,3.210591855486028e-05,4.543299448108468e-05,8.049567724789057e-05,0.995562192574977
FEM,0.0002,1.60688224116698e-05,2.2738945116909185e-05,4.011861711308332e-05,0.9985750686445425
FEM,0.0001,8.033092104978132e-06,1.1367605902565484e-05,1.982593844278237e-05,1.000236883133858
